test_type,level,accuracy,balanced_accuracy,roc_auc,pr_auc,f1_unstable,precision_unstable,recall_unstable,brier_score,log_loss,ece,tn,fp,fn,tp,band_count,flip_rate,mean_auc,std_auc,min_auc
ood_svm,1.25,0.8252,0.7756,0.8356,0.8671,0.8746,0.8065,0.9552,0.1591,2.4411,0.1494,2589.0,1755.0,343.0,7313.0,,,,,
ood_rf,1.25,0.7726,0.6859,0.8166,0.8281,0.8487,0.7373,0.9999,0.1893,4.6911,0.2014,1616.0,2728.0,1.0,7655.0,,,,,
ood_lgbm,1.25,0.8555,0.8036,0.812,0.8244,0.8975,0.8196,0.9918,0.1441,4.8851,0.1491,2673.0,1671.0,63.0,7593.0,,,,,
ood_hybrid,1.5,0.6913,0.5737,0.6504,0.7105,0.8052,0.6739,1.0,0.2864,1.78,0.2936,640.0,3704.0,0.0,7656.0,,,,,
ood_svm,1.5,0.5132,0.4976,0.5484,0.6313,0.5922,0.636,0.5539,0.3076,3.2083,0.329,1917.0,2427.0,3415.0,4241.0,,,,,
ood_rf,1.5,0.6912,0.5734,0.7178,0.7581,0.8051,0.6738,1.0,0.2635,6.8802,0.2741,638.0,3706.0,0.0,7656.0,,,,,
ood_lgbm,1.5,0.7596,0.6708,0.6801,0.7337,0.8405,0.7288,0.9926,0.2397,8.2787,0.2446,1516.0,2828.0,57.0,7599.0,,,,,
ood_hybrid,2.0,0.6438,0.5079,0.6053,0.6366,0.7817,0.6417,1.0,0.3387,1.7781,0.3421,69.0,4275.0,0.0,7656.0,,,,,
ood_svm,2.0,0.2971,0.397,0.2802,0.4954,0.0597,0.2038,0.035,0.3622,1.7467,0.3854,3297.0,1047.0,7388.0,268.0,,,,,
ood_rf,2.0,0.6438,0.5081,0.6664,0.7262,0.7818,0.6417,1.0,0.3051,8.0415,0.3172,70.0,4274.0,0.0,7656.0,,,,,
ood_lgbm,2.0,0.692,0.5792,0.5911,0.6832,0.8036,0.6773,0.9879,0.3046,10.5452,0.3054,741.0,3603.0,93.0,7563.0,,,,,
boundary,0.05,,,,,,,,,,,,,,,0.0,,,,
mc_hybrid,0.05,,,,,,,,,,,,,,,,,0.9993,0.0002,0.9989
mc_svm,0.05,,,,,,,,,,,,,,,,,0.9983,0.0002,0.998
mc_rf,0.05,,,,,,,,,,,,,,,,,0.9971,0.0004,0.9962
mc_lgbm,0.05,,,,,,,,,,,,,,,,,0.9959,0.0004,0.9947
mc_hybrid,0.1,,,,,,,,,,,,,,,,,0.9951,0.0005,0.9938
mc_svm,0.1,,,,,,,,,,,,,,,,,0.9914,0.0004,0.9905
mc_rf,0.1,,,,,,,,,,,,,,,,,0.9895,0.0007,0.9877
mc_lgbm,0.1,,,,,,,,,,,,,,,,,0.9858,0.0009,0.9824
mc_hybrid,0.2,,,,,,,,,,,,,,,,,0.9801,0.001,0.9778
mc_svm,0.2,,,,,,,,,,,,,,,,,0.9641,0.0015,0.9615
mc_rf,0.2,,,,,,,,,,,,,,,,,0.9695,0.0015,0.9661
mc_lgbm,0.2,,,,,,,,,,,,,,,,,0.9593,0.0013,0.9569
