batch,n_samples,drift_type,drift_factor_tau,drift_factor_g,HYBRID_auc_clean,HYBRID_auc_corrupt,HYBRID_brier_clean,HYBRID_brier_corrupt,HYBRID_ece_clean,HYBRID_ece_corrupt,HYBRID_risk_stable,HYBRID_risk_border,HYBRID_risk_critical,HYBRID_confidence_mean,HYBRID_conf_coverage,HYBRID_conf_singleton,HYBRID_conf_ambiguous,SVM_auc_clean,SVM_auc_corrupt,SVM_brier_clean,SVM_brier_corrupt,SVM_ece_clean,SVM_ece_corrupt,SVM_risk_stable,SVM_risk_border,SVM_risk_critical,SVM_confidence_mean,SVM_conf_coverage,SVM_conf_singleton,SVM_conf_ambiguous,RF_auc_clean,RF_auc_corrupt,RF_brier_clean,RF_brier_corrupt,RF_ece_clean,RF_ece_corrupt,RF_risk_stable,RF_risk_border,RF_risk_critical,RF_confidence_mean,RF_conf_coverage,RF_conf_singleton,RF_conf_ambiguous,LGBM_auc_clean,LGBM_auc_corrupt,LGBM_brier_clean,LGBM_brier_corrupt,LGBM_ece_clean,LGBM_ece_corrupt,LGBM_risk_stable,LGBM_risk_border,LGBM_risk_critical,LGBM_confidence_mean,LGBM_conf_coverage,LGBM_conf_singleton,LGBM_conf_ambiguous,HYBRID_rolling_auc,HYBRID_rolling_ece,HYBRID_rolling_brier,HYBRID_rolling_confidence,HYBRID_rolling_coverage,SVM_rolling_auc,SVM_rolling_ece,SVM_rolling_brier,SVM_rolling_confidence,SVM_rolling_coverage,RF_rolling_auc,RF_rolling_ece,RF_rolling_brier,RF_rolling_confidence,RF_rolling_coverage,LGBM_rolling_auc,LGBM_rolling_ece,LGBM_rolling_brier,LGBM_rolling_confidence,LGBM_rolling_coverage,feature_psi,feature_kl,recalibration_alert,cusum_brier,cusum_confidence,page_hinkley_brier,page_hinkley_confidence
0,100,none,1.0,1.0,1.0,0.9569,0.0,0.0299,0.0002,0.0311,24,0,76,0.9984,0.97,1.0,0.0,1.0,0.9259,0.0001,0.0563,0.0037,0.0618,20,1,79,0.9883,0.94,1.0,0.0,1.0,0.9607,0.0,0.0276,0.0,0.0214,24,0,76,0.9914,0.97,1.0,0.0,1.0,0.9592,0.0,0.0424,0.0,0.0479,24,5,71,0.9853,0.94,1.0,0.0,0.9569,0.0311,0.0299,0.9984,0.97,0.9259,0.0618,0.0563,0.9883,0.94,0.9607,0.0214,0.0276,0.9914,0.97,0.9592,0.0479,0.0424,0.9853,0.94,0.1018,0.051,False,0.0,0.0,0.0,0.0
1,100,none,1.0,1.0,1.0,0.9209,0.0,0.0862,0.0002,0.0888,32,0,68,0.987,0.91,1.0,0.0,1.0,0.9037,0.0001,0.107,0.0033,0.1061,30,0,70,0.9942,0.89,1.0,0.0,1.0,0.9134,0.0,0.0598,0.0,0.0593,27,0,73,0.9807,0.94,1.0,0.0,1.0,0.886,0.0,0.1019,0.0,0.1062,28,5,67,0.9862,0.88,1.0,0.0,0.9389,0.06,0.058,0.9927,0.94,0.9148,0.084,0.0816,0.9912,0.915,0.937,0.0403,0.0437,0.986,0.955,0.9226,0.0771,0.0722,0.9857,0.91,0.0844,0.0427,False,0.0,0.0,0.0101,0.0022
2,100,none,1.0,1.0,1.0,0.9062,0.0,0.0821,0.0002,0.0847,34,0,66,0.9917,0.92,1.0,0.0,1.0,0.9008,0.0001,0.0967,0.0024,0.0966,34,2,64,0.9842,0.9,1.0,0.0,1.0,0.9987,0.0,0.0137,0.0,0.0093,34,0,66,0.9893,0.98,1.0,0.0,1.0,0.9063,0.0,0.0806,0.0,0.0845,31,2,67,0.9945,0.91,1.0,0.0,0.928,0.0682,0.0661,0.9924,0.9333,0.9101,0.0882,0.0867,0.9889,0.91,0.9576,0.03,0.0337,0.9871,0.9633,0.9172,0.0795,0.075,0.9887,0.91,0.0868,0.0435,False,0.0,0.0,0.021,0.0036
3,100,none,1.0,1.0,1.0,0.9859,0.0,0.0301,0.0002,0.03,32,0,68,0.9979,0.97,1.0,0.0,1.0,0.965,0.0014,0.0621,0.0068,0.0633,28,4,68,0.9804,0.92,1.0,0.0,1.0,0.957,0.0,0.0314,0.0,0.0364,28,0,72,0.9936,0.97,1.0,0.0,1.0,0.9349,0.0,0.0812,0.0,0.0885,31,4,65,0.9885,0.9,1.0,0.0,0.9425,0.0586,0.0571,0.9938,0.9425,0.9238,0.082,0.0805,0.9868,0.9125,0.9574,0.0316,0.0331,0.9888,0.965,0.9216,0.0818,0.0765,0.9886,0.9075,0.1078,0.0541,False,0.0,0.0,0.0214,0.0035
4,100,none,1.0,1.0,1.0,0.95,0.0059,0.0708,0.0079,0.0708,52,0,48,0.9952,0.93,1.0,0.0,1.0,0.9068,0.0001,0.0979,0.0019,0.0974,50,2,48,0.9847,0.89,1.0,0.0,1.0,0.9168,0.0062,0.0878,0.0079,0.0892,52,0,48,0.9923,0.91,1.0,0.0,1.0,0.9342,0.0,0.0781,0.0,0.0734,46,6,48,0.9834,0.91,1.0,0.0,0.944,0.0611,0.0598,0.994,0.94,0.9204,0.085,0.084,0.9864,0.908,0.9493,0.0431,0.0441,0.9895,0.954,0.9241,0.0801,0.0768,0.9876,0.908,0.1208,0.0599,False,0.0,0.0,0.0231,0.003
5,100,none,1.0,1.0,1.0,0.9179,0.0,0.0845,0.0003,0.0854,45,0,55,0.9954,0.91,1.0,0.0,1.0,0.8892,0.0001,0.1024,0.0019,0.108,42,1,57,0.9888,0.89,1.0,0.0,1.0,0.9472,0.0005,0.058,0.0021,0.0507,42,0,58,0.9893,0.94,1.0,0.0,1.0,0.8902,0.0,0.1352,0.0,0.1384,47,4,49,0.9884,0.85,1.0,0.0,0.9396,0.0651,0.0639,0.9943,0.935,0.9152,0.0889,0.0871,0.9868,0.905,0.949,0.0444,0.0464,0.9894,0.9517,0.9185,0.0898,0.0866,0.9877,0.8983,0.0775,0.0384,False,0.0,0.0,0.0273,0.0023
6,100,none,1.0,1.0,1.0,0.9483,0.0,0.0547,0.0002,0.0583,38,0,62,0.993,0.94,1.0,0.0,1.0,0.9337,0.0001,0.0658,0.0022,0.0738,38,3,59,0.9855,0.93,1.0,0.0,1.0,0.895,0.0,0.0918,0.0,0.0986,37,0,63,0.9914,0.91,1.0,0.0,1.0,0.9344,0.0,0.0898,0.0,0.0984,41,4,55,0.9884,0.89,1.0,0.0,0.9409,0.0642,0.0626,0.9941,0.9357,0.9179,0.0867,0.084,0.9866,0.9086,0.9413,0.0521,0.0529,0.9897,0.9457,0.9207,0.091,0.087,0.9878,0.8971,0.0842,0.0422,False,0.0,0.0,0.0292,0.0018
7,100,none,1.0,1.0,1.0,0.9415,0.0,0.0782,0.0002,0.0767,37,0,63,0.9967,0.92,1.0,0.0,1.0,0.9312,0.0,0.0899,0.0015,0.0973,35,2,63,0.989,0.9,1.0,0.0,1.0,0.8921,0.0,0.1076,0.0,0.1014,36,0,64,0.9914,0.89,1.0,0.0,1.0,0.8796,0.0,0.1306,0.0,0.1345,39,2,59,0.9945,0.86,1.0,0.0,0.941,0.0657,0.0646,0.9944,0.9338,0.9195,0.088,0.0848,0.9869,0.9075,0.9351,0.0583,0.0597,0.9899,0.9388,0.9156,0.0965,0.0925,0.9886,0.8925,0.0779,0.0388,False,0.0,0.0,0.0321,0.001
8,100,none,1.0,1.0,1.0,0.9406,0.0,0.0793,0.0006,0.0825,35,0,65,0.9925,0.91,1.0,0.0,0.9979,0.913,0.0093,0.1123,0.0077,0.1243,37,3,60,0.9824,0.88,1.0,0.0,1.0,0.9323,0.0,0.0748,0.0,0.0754,35,1,64,0.9875,0.92,1.0,0.0,1.0,0.9257,0.0007,0.0912,0.0027,0.0991,39,4,57,0.9891,0.89,1.0,0.0,0.9409,0.0676,0.0662,0.9942,0.9311,0.9188,0.0921,0.0878,0.9864,0.9044,0.9348,0.0602,0.0614,0.9897,0.9367,0.9167,0.0968,0.0923,0.9887,0.8922,0.1245,0.0624,False,0.0,0.0,0.0357,0.0004
9,100,none,1.0,1.0,1.0,0.9002,0.0099,0.1068,0.01,0.1001,27,0,73,0.9887,0.89,1.0,0.0,1.0,0.8777,0.0128,0.1296,0.0136,0.1317,31,1,68,0.9894,0.87,1.0,0.0,0.9998,0.9287,0.0066,0.0679,0.0057,0.0564,26,0,74,0.9764,0.92,1.0,0.0,1.0,0.8634,0.0007,0.1425,0.0027,0.1509,32,7,61,0.9809,0.83,1.0,0.0,0.9368,0.0708,0.0703,0.9936,0.927,0.9147,0.096,0.092,0.9867,0.901,0.9342,0.0598,0.062,0.9883,0.935,0.9114,0.1022,0.0973,0.9879,0.886,0.0792,0.04,False,0.0,0.0,0.0422,0.0003
10,100,none,1.0,1.0,1.0,0.9591,0.0,0.0698,0.0002,0.0759,39,0,61,0.988,0.92,1.0,0.0,1.0,0.9113,0.0001,0.1287,0.0017,0.1309,41,1,58,0.9922,0.87,1.0,0.0,1.0,0.9826,0.0,0.037,0.0,0.0307,36,0,64,0.9807,0.95,1.0,0.0,1.0,0.9241,0.0,0.0872,0.0,0.0936,36,6,58,0.9836,0.89,1.0,0.0,0.9371,0.0753,0.0742,0.9926,0.922,0.9132,0.1029,0.0992,0.9871,0.894,0.9364,0.0607,0.063,0.9873,0.933,0.9079,0.1067,0.1018,0.9877,0.881,0.1049,0.0527,False,0.0032,0.0,0.0513,0.0011
11,100,none,1.0,1.0,1.0,0.9653,0.0,0.0426,0.0002,0.0435,35,1,64,0.9887,0.95,1.0,0.0,1.0,0.8891,0.0,0.1509,0.0015,0.1554,37,2,61,0.992,0.84,1.0,0.0,1.0,0.9592,0.0,0.0492,0.0,0.0455,36,1,63,0.9845,0.95,1.0,0.0,1.0,0.9525,0.0,0.0945,0.0,0.1,38,11,51,0.97,0.87,1.0,0.0,0.9415,0.0708,0.0699,0.9928,0.926,0.9118,0.1079,0.1036,0.9869,0.889,0.941,0.0594,0.0619,0.9876,0.934,0.9145,0.1061,0.1011,0.9861,0.88,0.0872,0.0439,False,0.002,0.0,0.0554,0.0015
12,100,none,1.0,1.0,1.0,0.9215,0.0,0.0999,0.0002,0.098,26,0,74,0.998,0.9,1.0,0.0,1.0,0.8789,0.0001,0.1,0.0016,0.0993,26,0,74,0.9993,0.9,1.0,0.0,1.0,0.9618,0.0,0.0517,0.0,0.0458,26,0,74,0.9858,0.94,1.0,0.0,1.0,0.8358,0.0,0.1353,0.0,0.1373,27,1,72,0.9973,0.86,1.0,0.0,0.943,0.0721,0.0717,0.9934,0.924,0.9096,0.1081,0.104,0.9884,0.889,0.9373,0.063,0.0657,0.9873,0.93,0.9075,0.1114,0.1066,0.9864,0.875,0.1101,0.0549,False,0.0027,0.0,0.0606,0.0014
13,100,none,1.0,1.0,1.0,0.9082,0.0,0.0601,0.0002,0.0608,26,0,74,0.9985,0.94,1.0,0.0,1.0,0.9013,0.0001,0.0839,0.0017,0.0853,30,1,69,0.9953,0.91,1.0,0.0,1.0,0.9286,0.0,0.0709,0.0,0.0743,31,0,69,0.9957,0.93,1.0,0.0,1.0,0.9608,0.0,0.0506,0.0,0.0545,30,2,68,0.9945,0.94,1.0,0.0,0.9353,0.0752,0.0747,0.9935,0.921,0.9032,0.1103,0.1061,0.9899,0.888,0.9344,0.0668,0.0697,0.9875,0.926,0.9101,0.108,0.1035,0.987,0.879,0.1001,0.0499,False,0.0063,0.0,0.0679,0.0011
14,100,none,1.0,1.0,1.0,0.9517,0.0,0.078,0.0002,0.0808,35,0,65,0.9953,0.92,1.0,0.0,1.0,0.9103,0.0013,0.101,0.0052,0.1051,39,1,60,0.992,0.89,1.0,0.0,1.0,0.8632,0.0,0.1276,0.0,0.1214,36,0,64,0.9914,0.87,1.0,0.0,1.0,0.8894,0.0,0.1028,0.0,0.1053,36,1,63,0.9953,0.89,1.0,0.0,0.9354,0.0762,0.0754,0.9935,0.92,0.9036,0.1111,0.1064,0.9906,0.888,0.9291,0.07,0.0736,0.9874,0.922,0.9056,0.1112,0.106,0.9882,0.877,0.129,0.0641,False,0.0107,0.0,0.075,0.0007
15,100,none,1.0,1.0,1.0,0.972,0.0,0.0451,0.0003,0.0454,34,0,66,0.9895,0.95,1.0,0.0,1.0,0.9032,0.0,0.1199,0.0013,0.125,30,1,69,0.9929,0.88,1.0,0.0,1.0,0.9432,0.0005,0.048,0.0021,0.0407,30,0,70,0.9893,0.95,1.0,0.0,1.0,0.9055,0.0,0.0963,0.0,0.0989,32,4,64,0.9889,0.89,1.0,0.0,0.9408,0.0722,0.0714,0.9929,0.924,0.905,0.1128,0.1082,0.991,0.887,0.9287,0.069,0.0727,0.9874,0.923,0.9071,0.1072,0.1021,0.9882,0.881,0.111,0.0558,False,0.011,0.0,0.0778,0.0009
16,100,none,1.0,1.0,1.0,0.9956,0.0,0.021,0.0002,0.0227,29,0,71,0.9937,0.98,1.0,0.0,1.0,0.8349,0.0001,0.1182,0.0032,0.1179,26,1,73,0.9947,0.88,1.0,0.0,1.0,0.948,0.0,0.048,0.0,0.0407,28,0,72,0.9893,0.95,1.0,0.0,1.0,0.974,0.0,0.0328,0.0,0.0363,28,3,69,0.9873,0.96,1.0,0.0,0.9456,0.0686,0.0681,0.993,0.928,0.8951,0.1172,0.1134,0.9919,0.882,0.934,0.0632,0.0683,0.9872,0.927,0.9111,0.101,0.0964,0.9881,0.888,0.0853,0.0427,False,0.0081,0.0,0.077,0.001
17,100,none,1.0,1.0,1.0,0.8998,0.0,0.0647,0.0002,0.065,33,0,67,0.995,0.93,1.0,0.0,1.0,0.9005,0.0001,0.09,0.0019,0.089,33,0,67,0.999,0.91,1.0,0.0,1.0,0.9841,0.0,0.0276,0.0,0.0214,33,0,67,0.9914,0.97,1.0,0.0,1.0,0.9517,0.0,0.049,0.0,0.0465,30,4,66,0.9871,0.95,1.0,0.0,0.9414,0.0675,0.0667,0.9928,0.929,0.892,0.1164,0.1134,0.9929,0.883,0.9432,0.0552,0.0603,0.9872,0.935,0.9183,0.0922,0.0882,0.9874,0.897,0.0966,0.0485,False,0.0037,0.0,0.0748,0.0012
18,100,none,1.0,1.0,1.0,0.9802,0.0,0.0407,0.0002,0.0407,35,0,65,0.9954,0.96,1.0,0.0,1.0,0.9051,0.0,0.1435,0.0016,0.1466,32,0,68,0.9948,0.85,1.0,0.0,1.0,0.991,0.0,0.0185,0.0,0.0129,35,0,65,0.9871,0.98,1.0,0.0,1.0,0.9244,0.0,0.0734,0.0,0.0798,32,3,65,0.9898,0.91,1.0,0.0,0.9454,0.0633,0.0629,0.9931,0.934,0.8912,0.1186,0.1166,0.9942,0.88,0.949,0.049,0.0546,0.9872,0.941,0.9182,0.0903,0.0864,0.9875,0.899,0.0958,0.0481,False,0.0,0.0,0.0688,0.0011
19,100,none,1.0,1.0,1.0,0.9412,0.0,0.0713,0.0002,0.0754,36,0,64,0.9901,0.93,1.0,0.0,1.0,0.8953,0.0001,0.1042,0.0025,0.1084,38,2,60,0.9903,0.89,1.0,0.0,1.0,0.9768,0.0,0.0233,0.0,0.0361,37,0,63,0.9839,0.98,1.0,0.0,1.0,0.9391,0.0,0.0864,0.0,0.0964,39,5,56,0.9864,0.89,1.0,0.0,0.9495,0.0608,0.0593,0.9932,0.938,0.893,0.1163,0.114,0.9942,0.882,0.9538,0.047,0.0502,0.9879,0.947,0.9257,0.0849,0.0808,0.988,0.905,0.0825,0.0415,False,0.0,0.0,0.0596,0.0009
20,100,none,1.0,1.0,1.0,0.847,0.0,0.1407,0.0003,0.1468,40,0,60,0.991,0.86,1.0,0.0,1.0,0.9054,0.0007,0.1035,0.0055,0.1112,43,2,55,0.9865,0.9,1.0,0.0,1.0,0.9002,0.0,0.0951,0.0,0.0829,36,0,64,0.9829,0.9,1.0,0.0,1.0,0.9255,0.0,0.0874,0.0,0.0864,43,5,52,0.9864,0.9,1.0,0.0,0.9382,0.0679,0.0664,0.9935,0.932,0.8924,0.1143,0.1115,0.9937,0.885,0.9456,0.0522,0.056,0.9881,0.942,0.9259,0.0841,0.0808,0.9883,0.906,0.0962,0.0483,False,0.0,0.0,0.0573,0.0003
21,100,none,1.0,1.0,1.0,0.9176,0.0,0.1031,0.0007,0.1031,38,0,62,0.9931,0.89,1.0,0.0,0.9992,0.8933,0.0099,0.1378,0.0109,0.1384,38,1,61,0.995,0.86,1.0,0.0,1.0,0.9427,0.0,0.0642,0.0,0.0571,40,0,60,0.9871,0.93,1.0,0.0,1.0,0.9612,0.0,0.0612,0.0,0.0691,45,4,51,0.9891,0.92,1.0,0.0,0.9335,0.0739,0.0725,0.994,0.926,0.8928,0.1126,0.1102,0.994,0.887,0.944,0.0533,0.0575,0.9884,0.94,0.9267,0.081,0.0775,0.9902,0.911,0.1069,0.0538,False,0.0015,0.0,0.0608,0.0
22,100,none,1.0,1.0,1.0,0.8716,0.0,0.0755,0.0002,0.0757,29,0,71,0.9957,0.92,1.0,0.0,1.0,0.8743,0.0,0.0907,0.001,0.0912,31,1,68,0.9963,0.91,1.0,0.0,1.0,0.9527,0.0,0.0576,0.0,0.0514,35,0,65,0.9914,0.94,1.0,0.0,1.0,0.9231,0.0,0.063,0.0,0.0662,30,1,69,0.9947,0.93,1.0,0.0,0.9285,0.0716,0.07,0.9937,0.928,0.8924,0.1118,0.1093,0.9937,0.888,0.943,0.0539,0.0581,0.9889,0.94,0.9355,0.0739,0.0703,0.99,0.918,0.0952,0.0467,False,0.0004,0.0,0.0616,0.0
23,100,none,1.0,1.0,1.0,0.9204,0.0,0.0567,0.0002,0.0543,33,0,67,0.9894,0.94,1.0,0.0,1.0,0.8655,0.0009,0.1305,0.0044,0.1347,28,0,72,0.9942,0.87,1.0,0.0,1.0,0.9152,0.0,0.0861,0.0,0.0725,34,0,66,0.9775,0.91,1.0,0.0,1.0,0.9521,0.0,0.0556,0.0,0.0683,31,5,64,0.9808,0.92,1.0,0.0,0.9297,0.071,0.0697,0.9928,0.928,0.8888,0.1168,0.1139,0.9936,0.884,0.9417,0.0537,0.0596,0.9871,0.938,0.9346,0.0753,0.0708,0.9886,0.916,0.1008,0.0496,False,0.0,0.0,0.0619,0.0001
24,100,none,1.0,1.0,1.0,0.9267,0.0,0.0719,0.0003,0.0728,34,0,66,0.9902,0.93,1.0,0.0,1.0,0.8648,0.0001,0.1549,0.0026,0.1597,35,3,62,0.9862,0.83,1.0,0.0,1.0,0.8994,0.0005,0.0914,0.0021,0.0964,34,0,66,0.9936,0.91,1.0,0.0,1.0,0.8899,0.0,0.1112,0.0,0.1191,32,4,64,0.9891,0.87,1.0,0.0,0.9272,0.0702,0.0691,0.9923,0.929,0.8842,0.1222,0.1193,0.993,0.878,0.9453,0.0512,0.056,0.9874,0.942,0.9346,0.0767,0.0716,0.988,0.914,0.0794,0.0389,False,0.0,0.0,0.0615,0.0007
25,100,none,1.0,1.0,1.0,0.9819,0.0,0.0312,0.0002,0.0375,36,0,64,0.99,0.97,1.0,0.0,1.0,0.9266,0.0001,0.1199,0.0039,0.1323,35,5,60,0.9788,0.87,1.0,0.0,1.0,0.9321,0.0,0.0685,0.0,0.0629,38,0,62,0.9871,0.93,1.0,0.0,1.0,0.9168,0.0,0.1117,0.0,0.1236,41,6,53,0.9836,0.86,1.0,0.0,0.9282,0.0694,0.0677,0.9924,0.931,0.8866,0.1229,0.1193,0.9916,0.877,0.9442,0.0534,0.058,0.9871,0.94,0.9358,0.0792,0.0732,0.9874,0.911,0.1063,0.0534,False,0.0,0.0,0.0596,0.0012
26,100,none,1.0,1.0,1.0,0.9449,0.0,0.0422,0.0002,0.0466,34,0,66,0.9906,0.96,1.0,0.0,1.0,0.9531,0.0,0.0722,0.0014,0.0754,35,1,64,0.9928,0.93,1.0,0.0,1.0,0.9311,0.0,0.0837,0.0,0.0971,38,0,62,0.9829,0.92,1.0,0.0,1.0,0.9118,0.0,0.0912,0.0,0.0991,31,4,65,0.9891,0.89,1.0,0.0,0.9231,0.0718,0.0698,0.9921,0.929,0.8984,0.1187,0.1147,0.9914,0.882,0.9425,0.0591,0.0616,0.9865,0.937,0.9296,0.0854,0.079,0.9876,0.904,0.1131,0.0569,False,0.0,0.0001,0.0596,0.0019
27,100,none,1.0,1.0,1.0,0.9553,0.0,0.0509,0.0002,0.0549,39,0,61,0.993,0.95,1.0,0.0,1.0,0.9707,0.0001,0.0328,0.003,0.035,37,1,62,0.9932,0.96,1.0,0.0,1.0,0.9609,0.0,0.0523,0.0,0.0607,41,0,59,0.9893,0.95,1.0,0.0,1.0,0.9258,0.0,0.0806,0.0,0.0845,37,2,61,0.9945,0.91,1.0,0.0,0.9287,0.0708,0.0684,0.9918,0.931,0.9054,0.1133,0.109,0.9908,0.887,0.9402,0.063,0.0641,0.9863,0.935,0.927,0.0892,0.0822,0.9884,0.9,0.1008,0.0506,False,0.0,0.0004,0.0581,0.0028
28,100,none,1.0,1.0,1.0,0.9113,0.0,0.0928,0.0002,0.0983,41,0,59,0.9899,0.91,1.0,0.0,1.0,0.9195,0.0,0.0822,0.0012,0.0851,41,1,58,0.9939,0.92,1.0,0.0,1.0,0.9052,0.0,0.0976,0.0,0.0914,42,0,58,0.9914,0.9,1.0,0.0,1.0,0.9095,0.0,0.086,0.0,0.0845,37,2,61,0.9945,0.91,1.0,0.0,0.9218,0.0765,0.0736,0.9913,0.926,0.9068,0.1071,0.1029,0.9907,0.894,0.9316,0.0708,0.072,0.9867,0.927,0.9255,0.0897,0.0834,0.9888,0.9,0.1091,0.0537,False,0.0026,0.0013,0.0616,0.0041
29,100,none,1.0,1.0,1.0,0.9116,0.0,0.0903,0.0003,0.0893,43,0,57,0.9893,0.9,1.0,0.0,1.0,0.8972,0.0001,0.1422,0.0019,0.1452,41,2,57,0.9927,0.86,1.0,0.0,1.0,0.9322,0.0,0.0922,0.0,0.0929,48,0,52,0.9829,0.89,1.0,0.0,1.0,0.9164,0.0,0.0888,0.0,0.0863,47,4,49,0.9874,0.91,1.0,0.0,0.9188,0.0779,0.0755,0.9912,0.923,0.907,0.1108,0.1067,0.991,0.891,0.9272,0.0765,0.0789,0.9866,0.918,0.9232,0.0887,0.0837,0.9889,0.902,0.1217,0.0619,False,0.007,0.0023,0.0667,0.0055
30,100,none,1.0,1.0,1.0,0.9433,0.0,0.0721,0.0002,0.0763,34,0,66,0.992,0.93,1.0,0.0,1.0,0.9466,0.0001,0.0616,0.0025,0.0643,34,1,65,0.9917,0.94,1.0,0.0,1.0,0.9365,0.0,0.0642,0.0,0.0571,32,0,68,0.9871,0.93,1.0,0.0,1.0,0.9413,0.0,0.0926,0.0,0.0936,40,6,54,0.9836,0.89,1.0,0.0,0.9285,0.0709,0.0687,0.9913,0.93,0.9112,0.1061,0.1025,0.9915,0.895,0.9308,0.074,0.0758,0.987,0.921,0.9248,0.0894,0.0842,0.9886,0.901,0.1021,0.0511,False,0.0047,0.0031,0.0649,0.0068
31,100,none,1.0,1.0,1.0,0.9565,0.0,0.0653,0.0002,0.0662,37,0,63,0.9962,0.93,1.0,0.0,1.0,0.9343,0.0002,0.1076,0.0041,0.1157,40,1,59,0.9835,0.88,1.0,0.0,1.0,0.9335,0.0,0.0865,0.0,0.0829,40,0,60,0.9829,0.9,1.0,0.0,1.0,0.9142,0.0,0.0916,0.0,0.0935,41,3,56,0.9902,0.9,1.0,0.0,0.9324,0.0672,0.0649,0.9916,0.934,0.9153,0.1039,0.0995,0.9903,0.897,0.9299,0.0765,0.078,0.9866,0.918,0.9201,0.0919,0.0872,0.9888,0.899,0.081,0.0407,False,0.0,0.0037,0.0593,0.0076
32,100,none,1.0,1.0,1.0,0.9214,0.0,0.0865,0.0002,0.0906,27,0,73,0.989,0.91,1.0,0.0,1.0,0.8996,0.0,0.1473,0.0017,0.1526,29,0,71,0.9907,0.85,1.0,0.0,1.0,0.9318,0.0,0.0646,0.0,0.055,29,0,71,0.985,0.93,1.0,0.0,1.0,0.8415,0.0,0.1413,0.0,0.1418,30,3,67,0.9918,0.85,1.0,0.0,0.9373,0.0687,0.066,0.991,0.933,0.9178,0.11,0.1051,0.9898,0.891,0.9278,0.0769,0.0787,0.986,0.917,0.9119,0.0994,0.0951,0.9885,0.891,0.0834,0.0419,False,0.0,0.0049,0.0549,0.009
33,100,none,1.0,1.0,1.0,0.9879,0.0,0.013,0.0002,0.0188,30,0,70,0.9897,0.99,1.0,0.0,1.0,0.9743,0.0,0.0513,0.0015,0.0547,31,1,68,0.9932,0.94,1.0,0.0,1.0,0.9556,0.0,0.0328,0.0,0.0429,28,0,72,0.9871,0.97,1.0,0.0,1.0,0.9621,0.0,0.0522,0.0,0.0657,27,6,67,0.9815,0.92,1.0,0.0,0.9441,0.0651,0.0616,0.991,0.938,0.9287,0.102,0.0972,0.9897,0.898,0.9318,0.0739,0.0734,0.9869,0.923,0.9129,0.0992,0.0947,0.9885,0.891,0.1179,0.0593,False,0.0,0.006,0.0462,0.0104
34,100,none,1.0,1.0,1.0,0.9335,0.0,0.0712,0.0002,0.0703,33,0,67,0.9903,0.92,1.0,0.0,1.0,0.941,0.0001,0.0849,0.0024,0.0936,38,3,59,0.9839,0.9,1.0,0.0,1.0,0.9427,0.0,0.0651,0.0,0.0529,36,0,64,0.9829,0.93,1.0,0.0,1.0,0.9535,0.0,0.0672,0.0,0.0736,36,6,58,0.9836,0.91,1.0,0.0,0.9448,0.0649,0.0615,0.991,0.937,0.9363,0.0954,0.0902,0.9894,0.905,0.9362,0.0696,0.0708,0.9859,0.925,0.9193,0.0946,0.0903,0.988,0.895,0.0745,0.0371,False,0.0,0.0072,0.0375,0.0117
35,100,none,1.0,1.0,1.0,0.9348,0.0,0.0935,0.0002,0.0951,37,0,63,0.9937,0.9,1.0,0.0,1.0,0.9321,0.0,0.0901,0.0016,0.0984,31,3,66,0.9856,0.9,1.0,0.0,1.0,0.951,0.0,0.069,0.0,0.0714,39,0,61,0.9914,0.92,1.0,0.0,1.0,0.9294,0.0,0.0799,0.0,0.0842,36,2,62,0.9942,0.91,1.0,0.0,0.94,0.0706,0.0678,0.9914,0.93,0.9368,0.092,0.0872,0.9901,0.908,0.938,0.0704,0.0708,0.9863,0.924,0.9206,0.0907,0.0871,0.989,0.9,0.1258,0.0628,False,0.0,0.008,0.0351,0.0125
36,100,none,1.0,1.0,1.0,0.9382,0.0,0.093,0.0002,0.0965,33,0,67,0.9905,0.9,1.0,0.0,1.0,0.8707,0.0,0.1559,0.0018,0.161,31,2,67,0.9899,0.84,1.0,0.0,1.0,0.9369,0.0,0.0998,0.0,0.1039,35,0,65,0.9839,0.88,1.0,0.0,1.0,0.8792,0.0,0.1221,0.0,0.1191,36,4,60,0.9891,0.87,1.0,0.0,0.9394,0.0756,0.0729,0.9914,0.924,0.9286,0.1006,0.0956,0.9898,0.899,0.9386,0.0711,0.0724,0.9864,0.92,0.9173,0.0927,0.0902,0.989,0.898,0.0896,0.045,False,0.0019,0.0088,0.0376,0.0133
37,100,none,1.0,1.0,1.0,0.9134,0.0,0.0884,0.0002,0.0893,32,0,68,0.9975,0.91,1.0,0.0,1.0,0.9198,0.0002,0.1102,0.0031,0.1202,34,3,63,0.9837,0.88,1.0,0.0,1.0,0.8305,0.0,0.1761,0.0,0.175,34,0,66,0.985,0.81,1.0,0.0,1.0,0.8769,0.0,0.1236,0.0,0.1317,35,3,62,0.9877,0.86,1.0,0.0,0.9352,0.0791,0.0766,0.9918,0.92,0.9235,0.1091,0.1033,0.9889,0.891,0.9256,0.0825,0.0848,0.986,0.906,0.9124,0.0974,0.0945,0.9884,0.893,0.1247,0.0625,False,0.0074,0.0091,0.0436,0.0137
