batch,n_samples,drift_type,drift_factor_tau,drift_factor_g,HYBRID_auc_clean,HYBRID_auc_corrupt,HYBRID_brier_clean,HYBRID_brier_corrupt,HYBRID_ece_clean,HYBRID_ece_corrupt,HYBRID_risk_stable,HYBRID_risk_border,HYBRID_risk_critical,HYBRID_confidence_mean,HYBRID_conf_coverage,HYBRID_conf_singleton,HYBRID_conf_ambiguous,SVM_auc_clean,SVM_auc_corrupt,SVM_brier_clean,SVM_brier_corrupt,SVM_ece_clean,SVM_ece_corrupt,SVM_risk_stable,SVM_risk_border,SVM_risk_critical,SVM_confidence_mean,SVM_conf_coverage,SVM_conf_singleton,SVM_conf_ambiguous,RF_auc_clean,RF_auc_corrupt,RF_brier_clean,RF_brier_corrupt,RF_ece_clean,RF_ece_corrupt,RF_risk_stable,RF_risk_border,RF_risk_critical,RF_confidence_mean,RF_conf_coverage,RF_conf_singleton,RF_conf_ambiguous,LGBM_auc_clean,LGBM_auc_corrupt,LGBM_brier_clean,LGBM_brier_corrupt,LGBM_ece_clean,LGBM_ece_corrupt,LGBM_risk_stable,LGBM_risk_border,LGBM_risk_critical,LGBM_confidence_mean,LGBM_conf_coverage,LGBM_conf_singleton,LGBM_conf_ambiguous,HYBRID_rolling_auc,HYBRID_rolling_ece,HYBRID_rolling_brier,HYBRID_rolling_confidence,HYBRID_rolling_coverage,SVM_rolling_auc,SVM_rolling_ece,SVM_rolling_brier,SVM_rolling_confidence,SVM_rolling_coverage,RF_rolling_auc,RF_rolling_ece,RF_rolling_brier,RF_rolling_confidence,RF_rolling_coverage,LGBM_rolling_auc,LGBM_rolling_ece,LGBM_rolling_brier,LGBM_rolling_confidence,LGBM_rolling_coverage,feature_psi,feature_kl,recalibration_alert,cusum_brier,cusum_confidence,page_hinkley_brier,page_hinkley_confidence
102,100,gradual+abrupt,1.3875,0.7,0.9569,0.9112,0.0579,0.1109,0.0498,0.1146,36,0,64,0.9846,0.89,1.0,0.0,0.88,0.8246,0.2008,0.2129,0.2142,0.2228,41,1,58,0.9841,0.79,1.0,0.0,0.9505,0.8615,0.0605,0.1504,0.0589,0.145,37,0,63,0.985,0.84,1.0,0.0,0.916,0.8242,0.1106,0.1879,0.1145,0.1909,37,7,56,0.9809,0.79,1.0,0.0,0.9022,0.1252,0.1242,0.9734,0.869,0.8273,0.266,0.2562,0.9816,0.732,0.8881,0.1247,0.1302,0.9744,0.858,0.8653,0.1698,0.1621,0.9784,0.813,1.4329,0.7229,True,3.1677,0.6581,2.323,0.5023
103,100,gradual+abrupt,1.3938,0.7,0.9745,0.9452,0.0524,0.1016,0.0562,0.1082,40,0,60,0.9763,0.88,1.0,0.0,0.8646,0.8065,0.2296,0.2417,0.2336,0.2462,38,6,56,0.9706,0.74,1.0,0.0,0.9682,0.9064,0.0574,0.1113,0.0486,0.1007,40,0,60,0.9807,0.88,1.0,0.0,0.9758,0.92,0.0564,0.1054,0.0664,0.1018,40,8,52,0.9746,0.88,1.0,0.0,0.9106,0.1181,0.1168,0.9741,0.877,0.8274,0.2616,0.2525,0.9809,0.736,0.8936,0.1184,0.124,0.9762,0.866,0.8712,0.1601,0.1541,0.9794,0.823,1.7924,0.8994,True,3.2134,0.6762,2.3356,0.5135
104,100,gradual+abrupt,1.4,0.7,0.9539,0.9041,0.0773,0.1204,0.066,0.114,36,0,64,0.9711,0.87,1.0,0.0,0.8295,0.7915,0.259,0.2867,0.2644,0.2995,39,4,57,0.9765,0.7,1.0,0.0,0.955,0.9344,0.0724,0.0797,0.0631,0.0786,35,0,65,0.9614,0.92,1.0,0.0,0.9493,0.9154,0.1009,0.119,0.1103,0.1297,35,9,56,0.9703,0.85,1.0,0.0,0.9083,0.1193,0.119,0.9736,0.874,0.8153,0.2668,0.2579,0.9811,0.732,0.8965,0.1138,0.1212,0.9746,0.869,0.8749,0.155,0.1492,0.9782,0.827,1.2839,0.6454,True,3.2614,0.6947,2.3502,0.5251
105,100,gradual+abrupt,1.4062,0.7,0.947,0.8377,0.078,0.1762,0.0834,0.1829,34,0,66,0.9686,0.8,1.0,0.0,0.8611,0.753,0.258,0.2857,0.2654,0.3001,38,6,56,0.97,0.7,1.0,0.0,0.9499,0.8865,0.0771,0.1473,0.066,0.1357,37,0,63,0.9657,0.83,1.0,0.0,0.9186,0.9002,0.1272,0.1234,0.1336,0.1209,39,7,54,0.9809,0.86,1.0,0.0,0.8986,0.1259,0.1252,0.9722,0.866,0.8073,0.2725,0.2628,0.9793,0.726,0.8931,0.1176,0.1254,0.9735,0.864,0.8698,0.1592,0.1539,0.9774,0.822,1.877,0.9418,True,3.3156,0.7147,2.3707,0.538
106,100,gradual+abrupt,1.4125,0.7,0.9332,0.8663,0.0914,0.129,0.0784,0.1309,40,0,60,0.9698,0.86,1.0,0.0,0.882,0.7995,0.2104,0.2694,0.2176,0.2789,47,2,51,0.9784,0.71,1.0,0.0,0.938,0.9114,0.0843,0.1059,0.0695,0.0857,44,0,56,0.9657,0.88,1.0,0.0,0.9094,0.874,0.1099,0.1399,0.1162,0.1384,43,9,48,0.9726,0.84,1.0,0.0,0.896,0.1249,0.1251,0.9739,0.866,0.8079,0.273,0.2633,0.9784,0.724,0.898,0.1154,0.1242,0.9729,0.864,0.8741,0.1525,0.1486,0.9771,0.829,1.7885,0.8975,True,3.3696,0.733,2.391,0.5491
107,100,gradual+abrupt,1.4187,0.7,0.9565,0.9336,0.0606,0.0791,0.0537,0.0757,35,0,65,0.9736,0.92,1.0,0.0,0.7956,0.7771,0.3055,0.2852,0.3251,0.2993,38,4,58,0.9728,0.71,1.0,0.0,0.9664,0.9018,0.0546,0.1211,0.0354,0.0914,38,0,62,0.9614,0.87,1.0,0.0,0.9226,0.7916,0.1185,0.2374,0.1232,0.2362,47,5,48,0.9862,0.75,1.0,0.0,0.8996,0.1197,0.1204,0.9738,0.872,0.8061,0.2754,0.2655,0.9778,0.723,0.8953,0.115,0.1263,0.9717,0.863,0.865,0.1624,0.1583,0.979,0.821,1.7154,0.861,True,3.419,0.7513,2.4064,0.5601
108,100,gradual+abrupt,1.425,0.7,0.988,0.9095,0.0287,0.1031,0.0286,0.0886,35,0,65,0.9671,0.89,1.0,0.0,0.8213,0.7602,0.2498,0.2852,0.2513,0.2922,37,4,59,0.9692,0.7,1.0,0.0,0.992,0.9501,0.0288,0.0643,0.0121,0.0426,32,1,67,0.9674,0.93,1.0,0.0,0.9911,0.9757,0.0418,0.0532,0.0504,0.0612,36,5,59,0.9815,0.93,1.0,0.0,0.8972,0.1165,0.1195,0.9728,0.872,0.8002,0.279,0.269,0.9764,0.719,0.9007,0.108,0.1201,0.9727,0.869,0.8835,0.1424,0.1396,0.9801,0.843,2.7433,1.3764,True,3.4674,0.7707,2.4207,0.5721
109,100,gradual+abrupt,1.4312,0.7,0.9505,0.9274,0.0774,0.0793,0.0672,0.0728,34,0,66,0.9718,0.92,1.0,0.0,0.7629,0.6569,0.3122,0.3458,0.3275,0.3576,31,3,66,0.9649,0.62,1.0,0.0,0.9398,0.9472,0.076,0.0665,0.0614,0.0536,35,0,65,0.9764,0.93,1.0,0.0,0.9354,0.9392,0.1046,0.0788,0.1169,0.0843,39,2,59,0.9918,0.91,1.0,0.0,0.9029,0.1108,0.113,0.9737,0.88,0.7803,0.2887,0.2783,0.9746,0.707,0.904,0.1016,0.1141,0.9736,0.877,0.8876,0.1378,0.1349,0.981,0.847,1.7588,0.9314,True,3.5094,0.7892,2.4283,0.583
110,100,gradual+abrupt,1.4375,0.7,0.9481,0.9032,0.0728,0.1226,0.079,0.1276,32,0,68,0.9693,0.87,1.0,0.0,0.842,0.7045,0.2406,0.3487,0.2457,0.357,38,1,61,0.9814,0.64,1.0,0.0,0.9374,0.8544,0.0693,0.1368,0.05,0.1187,28,0,72,0.9687,0.85,1.0,0.0,0.9507,0.8717,0.1012,0.1485,0.117,0.1555,32,9,59,0.9755,0.82,1.0,0.0,0.9008,0.1134,0.1144,0.9735,0.878,0.7662,0.2978,0.2876,0.9752,0.698,0.9032,0.1001,0.1133,0.9722,0.877,0.8897,0.1355,0.1324,0.9807,0.849,2.3587,1.1837,True,3.5527,0.8078,2.4373,0.5941
111,100,gradual+abrupt,1.4438,0.7,0.9534,0.8699,0.0625,0.1142,0.0632,0.1206,30,0,70,0.9793,0.89,1.0,0.0,0.8242,0.7637,0.2474,0.2738,0.2696,0.2985,36,6,58,0.9589,0.68,1.0,0.0,0.9576,0.936,0.0593,0.0827,0.04,0.0643,36,0,64,0.9743,0.91,1.0,0.0,0.9233,0.8549,0.0968,0.1679,0.0893,0.1709,39,7,54,0.9809,0.81,1.0,0.0,0.9008,0.1136,0.1136,0.9732,0.879,0.7638,0.2952,0.2835,0.9727,0.699,0.909,0.0916,0.1066,0.9707,0.884,0.8867,0.139,0.1361,0.9795,0.844,2.2914,1.1504,True,3.5953,0.8268,2.4454,0.6053
112,100,gradual+abrupt,1.45,0.7,0.9172,0.822,0.1059,0.1822,0.1143,0.1848,37,0,63,0.9636,0.82,1.0,0.0,0.7555,0.7186,0.3103,0.3161,0.3098,0.3271,35,12,53,0.9351,0.63,1.0,0.0,0.9299,0.8421,0.0978,0.1635,0.0671,0.1371,35,0,65,0.9571,0.82,1.0,0.0,0.8662,0.8426,0.1796,0.1906,0.1846,0.1945,39,13,48,0.9645,0.77,1.0,0.0,0.8919,0.1206,0.1208,0.971,0.872,0.7532,0.3056,0.2938,0.9678,0.683,0.907,0.0908,0.1079,0.9679,0.882,0.8885,0.1393,0.1364,0.9779,0.842,2.3065,1.1085,True,3.645,0.848,2.4605,0.6186
113,100,gradual+abrupt,1.4563,0.7,0.9287,0.8005,0.1105,0.1951,0.1035,0.1922,35,0,65,0.9822,0.79,1.0,0.0,0.823,0.7907,0.2425,0.2665,0.2536,0.2791,34,9,57,0.9421,0.68,1.0,0.0,0.9312,0.8587,0.1027,0.1631,0.0918,0.1557,33,0,67,0.9657,0.81,1.0,0.0,0.9397,0.8671,0.0821,0.1528,0.0791,0.1464,45,5,50,0.9864,0.84,1.0,0.0,0.8774,0.129,0.1301,0.9716,0.863,0.7516,0.3089,0.2963,0.9649,0.677,0.9023,0.0963,0.1131,0.9664,0.875,0.8832,0.1438,0.1411,0.9791,0.838,1.7675,0.8856,True,3.7041,0.8685,2.4846,0.6312
114,100,gradual+abrupt,1.4625,0.7,0.9305,0.7956,0.1024,0.2103,0.1037,0.205,31,0,69,0.9711,0.78,1.0,0.0,0.8145,0.7073,0.2678,0.3715,0.2813,0.3719,43,6,51,0.967,0.62,1.0,0.0,0.9312,0.8642,0.0945,0.1598,0.0821,0.1543,35,0,65,0.9743,0.82,1.0,0.0,0.9204,0.8851,0.1126,0.1516,0.1189,0.1518,44,6,50,0.9789,0.83,1.0,0.0,0.8666,0.1381,0.1391,0.9716,0.854,0.7432,0.3162,0.3048,0.964,0.669,0.8952,0.1039,0.1211,0.9677,0.865,0.8802,0.146,0.1444,0.9799,0.836,1.7037,0.8533,True,3.7721,0.8891,2.5174,0.6436
115,100,gradual+abrupt,1.4688,0.7,0.9683,0.9293,0.0865,0.1038,0.0818,0.1026,37,1,62,0.9613,0.89,1.0,0.0,0.8576,0.6997,0.2296,0.3456,0.2318,0.3487,40,2,58,0.9776,0.65,1.0,0.0,0.941,0.8776,0.0884,0.1284,0.0743,0.1232,39,0,61,0.9668,0.87,1.0,0.0,0.9375,0.9032,0.1024,0.1385,0.1126,0.1481,44,6,50,0.9792,0.84,1.0,0.0,0.8757,0.1301,0.1319,0.9709,0.863,0.7378,0.321,0.3108,0.9647,0.664,0.8944,0.1027,0.1192,0.9678,0.869,0.8805,0.1487,0.1459,0.9797,0.834,1.8651,0.9361,True,3.833,0.9104,2.5428,0.6567
116,100,gradual+abrupt,1.475,0.7,0.9525,0.9063,0.1138,0.1402,0.1192,0.1434,33,0,67,0.9793,0.84,1.0,0.0,0.8714,0.815,0.1782,0.2224,0.1826,0.2359,35,5,60,0.9679,0.75,1.0,0.0,0.9166,0.8613,0.1146,0.158,0.1186,0.1629,33,0,67,0.9829,0.82,1.0,0.0,0.9365,0.8888,0.0756,0.116,0.0751,0.1145,41,2,57,0.9945,0.88,1.0,0.0,0.8797,0.1313,0.133,0.9719,0.861,0.7394,0.3167,0.3061,0.9637,0.668,0.8893,0.1104,0.1244,0.9695,0.863,0.882,0.1463,0.1435,0.9819,0.838,2.3352,1.1717,True,3.8949,0.9306,2.569,0.6686
117,100,gradual+abrupt,1.4812,0.7,0.9646,0.8888,0.0588,0.1038,0.057,0.1047,24,0,76,0.9706,0.88,1.0,0.0,0.8042,0.716,0.2566,0.2844,0.2731,0.2987,29,5,66,0.962,0.69,1.0,0.0,0.9646,0.9444,0.0547,0.0787,0.0432,0.0593,26,0,74,0.9593,0.9,1.0,0.0,0.9366,0.8382,0.0893,0.1634,0.0927,0.165,30,9,61,0.975,0.81,1.0,0.0,0.8752,0.1342,0.1355,0.9716,0.857,0.7333,0.3167,0.306,0.9626,0.666,0.8936,0.1072,0.1202,0.9693,0.866,0.8866,0.1392,0.1361,0.9808,0.844,2.3243,1.1657,True,3.9594,0.9512,2.5975,0.6807
118,100,gradual+abrupt,1.4875,0.7,0.9461,0.8816,0.0784,0.1037,0.0761,0.0933,30,0,70,0.9733,0.88,1.0,0.0,0.8205,0.7772,0.2305,0.2407,0.2407,0.2541,30,2,68,0.9753,0.76,1.0,0.0,0.9219,0.8684,0.0884,0.1322,0.0743,0.1164,36,0,64,0.9764,0.86,1.0,0.0,0.9047,0.8773,0.1126,0.1287,0.1136,0.1337,34,7,59,0.9781,0.85,1.0,0.0,0.8725,0.1347,0.1355,0.9722,0.856,0.735,0.3129,0.3016,0.9632,0.672,0.8854,0.1146,0.127,0.9702,0.859,0.8768,0.1465,0.1437,0.9805,0.836,1.9405,0.9749,True,4.0238,0.9712,2.6256,0.6922
119,100,gradual+abrupt,1.4937,0.7,0.9651,0.8764,0.0598,0.1198,0.0599,0.1221,28,0,72,0.9794,0.88,1.0,0.0,0.8162,0.6503,0.2151,0.328,0.2275,0.325,31,7,62,0.9592,0.64,1.0,0.0,0.932,0.8991,0.0575,0.1031,0.0489,0.0821,31,0,69,0.9721,0.89,1.0,0.0,0.912,0.886,0.1206,0.1445,0.1288,0.1417,34,6,60,0.9817,0.84,1.0,0.0,0.8674,0.1396,0.1396,0.9729,0.852,0.7343,0.3096,0.2998,0.9626,0.674,0.8806,0.1174,0.1306,0.9698,0.855,0.8715,0.1522,0.1502,0.9795,0.829,2.3566,1.1794,True,4.0924,0.9905,2.6576,0.7028
